Sample	NMR_2-Methylbutyrate	NMR_Lactate	NMR_Alanine	NMR_Tyrosine	NMR_Isoleucine	NMR_Leucine	NMR_Valine	NMR_Lysine	NMR_Succinate	NMR_Glycine	NMR_b_arabinose	NMR_b_xylose	NMR_Acetate	NMR_Propionate	NMR_Butyrate	NMR_Glucose	NMR_Isovalerate	NMR_Uracil	NMR_Hypoxanthine	Tryptophan_Metabolites_5-hydroxyindole acetate	Tryptophan_Metabolites_melatonin (pg/mg)	Tryptophan_Metabolites_anthranilate (pg/mg)	Tryptophan_Metabolites_indole-3-propionic acid	Tryptophan_Metabolites_3-methylindole (relative; raw peak area only)	Tryptophan_Metabolites_Tryptophan	Tryptophan_Metabolites_Kynurenate (no IS)	Tryptophan_Metabolites_Kynurenine (no IS)	Tryptophan_Metabolites_Serotonin	Tryptophan_Metabolites_tryptamine	Tryptophan_Metabolites_indole-3-acetic acid (no IS)	Tryptophan_Metabolites_indole	BA_Metabolites_Deoxycholic acid	BA_Metabolites_Cholic acid	BA_Metabolites_Ursodeoxycholic acid	BA_Metabolites_Lithocholic acid	BA_Metabolites_Chenodeoxycholic acid	BA_Metabolites_Deoxycholic acid sulphate	BA_Metabolites_Taurocholic acid	BA_Metabolites_Glycocholic acid	BA_Metabolites_Taurodeoxycholic acid	BA_Metabolites_Glycodeoxycholic acid	BA_Metabolites_Glycochenodeoxycholic acid	BA_Metabolites_Taurochenodeoxycholic acid
73.T.3	13.12968961	15.03585382	35.67743683	7.633146577	15.97833543	33.18622458	14.41755661	11.272481579999999	14.40906047	16.86785049	5.90948883	3.823053177	156.8066953	59.12412277	47.92173409	9.344331339	23.33548118	1.54626171	1.555975413	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	589.1656566	65.27414141	10.38141414	624.2921212	16.47676768	NA	NA	NA	NA	NA	NA	NA
64.T.1	14.21332222	13.98108917	40.16291538	8.12439313	16.42636714	36.21489229	16.23602843	16.10950857	24.17736992	15.82912854	3.747080359	2.86413582	197.7487347	48.96807664	38.10052571	1.831237912	29.52385992	1.500805912	1.171565656	0.187635498	0.349276492	2.324647787	0.276712583	8157661	20.19737938	0.556489225	0.109471266	0.879983265	0.360629492	10.96506127	11.36705869	5605.783159	10.95320417	384.6442623	3750.514009	59.82831595	NA	NA	NA	NA	NA	13.96467958	NA
6.T.6	17.08023819	18.00586341	72.83818685	10.39207002	27.56860699	63.20696164	23.07399788	19.43433228	28.04545294	22.83552078	7.371466119	3.954191059	410.5387063	75.62093779	73.33280835	2.465156056	42.06493164	3.284834023	0.925362842	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21686.1469	598.7910131	513.1622549	6541.078758	229.1665033	50.67320261	NA	581.9416667	NA	114.8506536	237.5485294	NA
6.T.3	17.22166813	19.79738246	76.55356323	12.51291446	30.40045912	67.62467489	26.1945549	23.75865954	32.02302241	25.36654122	7.242121503	3.214009412	381.0807664	97.00076494	93.72504342	3.513852009	34.64180946	3.435117076	1.229265129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14241.67703	201.3673267	82.57128713	5678.826931	81.23465347	28.08990099	NA	129.699802	NA	77.88475248	125.6017822	NA
26.T.3	13.65673106	27.35966133	59.98491278	11.87974763	27.08163659	57.98136252	24.59815999	21.26321243	29.742344	38.91546253	3.406061428	2.411523819	176.3409816	37.49995824	49.03480582	2.987950409	24.79317751	1.682062472	1.789785253	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1012.489634	30.23018293	16.97682927	247.057622	33.61051829	NA	NA	NA	NA	16.6347561	26.19557927	NA
60.T.1	10.94898508	21.55980073	58.24398223	13.99983508	29.68683626	63.974019	26.18456509	25.99233179	23.8993594	25.38334805	4.202757413	3.725367529	421.3164618	84.74205117	88.72772385	5.716517663	24.69304181	2.877859968	4.3894861	0.00752	0.0993	7.473855036	0.8275363	681245	26.93669612	0.097519877	0.169175159	0.293333274	0.381838844	66.58482713	88.70172152	7439.18797	96.41146617	368.5780075	1577.954699	88.19962406	1450.407707	NA	27.73703008	NA	33.27406015	55.81146617	NA
25.T.4	13.14603058	19.03083049	53.47834644	12.70599804	24.31778148	61.34962688	21.08690785	23.60933174	24.65153854	26.75915036	3.94780459	2.833971728	218.7397347	64.58938094	43.27932278	9.700064194	27.20309216	1.518340812	1.325963615	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15878.30628	18.0236715	167.7190821	3457.75314	57.03937198	678.3210145	NA	NA	177.7224638	NA	32.2826087	3.463285024
56.T.4	8.837012219	9.35718646	27.67273667	7.805137758	12.07301878	28.55487982	10.10383521	24.54448596	31.43089221	9.997406937	5.438610901	4.71066405	527.6380632	58.97634522	80.72425639	9.248794877	17.81378333	1.4482986	2.254668161	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2708.779175	99.6762279	101.5127701	586.6310413	37.6540275	1488.395481	NA	95.25834971	NA	28.61100196	39.50176817	NA
32.T.0	14.73269988	17.97370094	52.88876563	9.103790792	20.5305432	50.48455124	18.97419373	15.53109312	17.30596895	14.37982635	4.171498131	3.086196884	171.9053989	67.86619516	50.73987217	10.11403732	34.09786133	1.486394546	1.221978161	0.078	0.525728812	40.7091398	1.99413964	20751	16.01076962	0.114162627	0.084553431	0.67513786	0.323829905	95.55405836	162.6512295	24929.57966	777.033209	237.9647388	3406.251493	81.10876866	NA	NA	100.263806	NA	83.14589552	22.27779851	NA
27.T.5	14.1079928	18.79100335	60.3939023	11.03656006	23.76481389	53.91258953	21.03684378	21.8444716	26.05456844	18.50920283	4.017269583	3.425529315	306.3131855	60.53164021	56.66699846	4.298157388	30.22006312	2.159657654	2.783612519	0.0183	0.447433395	9.450958426	1.987986909	2538465	9.230141727	0.425025761	0.040769053	0.99146189	5.699777674	15.3837717	68.47083638	7904.563577	238.9873171	291.5923577	1150.256098	97.53447154	NA	NA	27.95626016	NA	19.77756098	11.8100813	NA
